	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3002867_AF028812	70.0	175.0	651.0	105.0	310.0	28.0	58.0	202.0	12.0	19.0
3000181_AF030344.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002245_AF030945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002561_AF031326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002562_AF031327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002564_AF031328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002565_AF031329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002566_AF031330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002567_AF031331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002568_AF031332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002698_AF034958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000177_AF038993	1.0	1.0	5.0	0.0	0.0	3.0	12.0	42.0	10.0	17.0
3001411_AF043100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002580_AF043381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001414_AF043381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000929_AF047171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002603_AF047479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002560_AF047556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001299_AF055922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001412_AF060206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000928_AF062386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001417_AF064820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000182_AF070999	7.0	15.0	52.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
3001075_AF072684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000230_AF078527	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
